beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
gleaming	He unwrapped it.Something fluid and silvery gray went slithering to the floor where it lay in gleaming folds.	{'n a flash of light (especially reflected light)\nn an appearance of reflected light\nv be shiny, as if wet\nv shine brightly, like a star or a light\nv appear briefly\ns bright with a steady but subdued shining', 'gleaming', 'ˈgli:mɪŋ', 'a. 闪闪发光的\nv. （使）闪烁, （使）闪亮( gleam的现在分词 )'}
woven	It was strange to the touch, like water woven into material.“It’s an invisibility cloak,” said Ron, a look of awe on his face.	"{'woven', ""'wәuvәn"", 'a. made or constructed by interlacing threads or strips of material or other elements into a whole', 'weave的过去分词'}"
invisibility	It was strange to the touch, like water woven into material.“It’s an invisibility cloak,” said Ron, a look of awe on his face.	"{'n. the quality of not being perceivable by the eye', ""in.vizә'biliti"", 'invisibility', 'n. 看不见, 难觉察的, 看不见的东西'}"
loopy	Written in narrow, loopy writing he had never seen before were the following words:Your father left this in my possession before he died.It is time it was returned to you.Use it well.A Very Merry Christmas to you.There was no signature.	"{'a. 多圈的, 呆头呆脑的, 糊涂的', ""'lu:pi"", 'a. consisting of or covered with or having loops', 'loopy'}"
flung	Had it really once belonged to his father?Before he could say or think anything else, the dormitory door was flung open and Fred and George Weasley bounded in.	{'v throw with force or recklessness\nv move in an abrupt or headlong manner\nv indulge oneself\nv throw or cast away', '扔, 丢, 掷, 抛, 急伸, 挥动, 扫视, (猛)推, 急派(军队), 猛冲, 急行, 直冲, 乱踢', 'flung', 'fl ʌŋ'}
halfheartedly	“Come on, get it on, they’re lovely and warm.”“I hate maroon,” Ron moaned halfheartedly as he pulled it over his head.“You haven’t got a letter on yours,” George observed.	"{'halfheartedly', '', ""'hɑ:fhɑ:tɪdlɪ"", 'adv. 不认真地, 无兴趣地'}"
thickly	Get it on, Percy, come on, we’re all wearing ours, even Harry got one.”“I — don’t — want —” said Percy thickly, as the twins forced the sweater over his head, knocking his glasses askew.“And you’re not sitting with the prefects today, either,” said George.	{'', 'r. spoken with poor articulation as if with a thick tongue\nr. with a thick consistency\nr. with thickness; in a thick manner', 'adv. 厚地；浓地', 'thickly'}
tureen	A hundred fat, roast turkeys; mountains of roast and boiled potatoes; platters of chipolatas; tureens of buttered peas, silver boats of thick, rich gravy and cranberry sauce – and stacks of wizard crackers every few feet along the table.	"{'n. large deep serving dish with a cover; for serving soups and stews', ""tju'ri:n"", 'n. 盖碗, 焙盘', 'tureen'}"
buttered	A hundred fat, roast turkeys; mountains of roast and boiled potatoes; platters of chipolatas; tureens of buttered peas, silver boats of thick, rich gravy and cranberry sauce – and stacks of wizard crackers every few feet along the table.	{'v. 抹黄油于…上( butter的过去式和过去分词 )', 'v spread butter on', 'ˈbʌtəd', 'buttered'}
cranberry	A hundred fat, roast turkeys; mountains of roast and boiled potatoes; platters of chipolatas; tureens of buttered peas, silver boats of thick, rich gravy and cranberry sauce – and stacks of wizard crackers every few feet along the table.	"{'cranberry', 'n. any of numerous shrubs of genus Vaccinium bearing cranberries\nn. very tart red berry used for sauce or juice', 'n. 越橘', ""'krænbәri""}"
feeble	These fantastic party favors were nothing like the feeble Muggle ones the Dursleys usually bought, with their little plastic toys and their flimsy paper hats inside.	{'feeble', 'a. 微弱的, 衰弱的, 无效的\n[医] 无力的, 衰弱的', 'fi:bl', 's. pathetically lacking in force or effectiveness\ns. lacking strength'}
flimsy	These fantastic party favors were nothing like the feeble Muggle ones the Dursleys usually bought, with their little plastic toys and their flimsy paper hats inside.	"{'flimsy', 'a. 易坏的, 脆弱的, 浅薄的\nn. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸', ""'flimzi"", 's. lacking solidity or strength\ns. lacking substance or significance; a fragile claim to fame""'}"
cracker	Hagrid seized his umbrella and whirled it over his head, “NEVER —” he thundered, “— INSULT — ALBUS — DUMBLEDORE — IN — FRONT — OF — ME!”He brought the umbrella swishing down through the air to point at Dudley — there was a flash of violet light, a sound like a firecracker, a sharp squeal, and the next second, Dudley was dancing on the spot with his hands clasped over his fat bottom, howling in pain.	"{'n. a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet\nn. a programmer who cracks (gains unauthorized access to) computers, typically to do malicious things\nn. a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends', ""'krækә"", 'n. 饼干, 爆竹\n[计] 破袭者', 'cracker'}"
admiral	Harry pulled a wizard cracker with Fred and it didn’t just bang, it went off with a blast like a cannon and engulfed them all in a cloud of blue smoke, while from the inside exploded a rear admiral’s hat and several live, white mice.	"{'n. 舰队司令, 海军上将, 旗舰', 'n. the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral\nn. any of several brightly colored butterflies', 'admiral', ""'ædmәrәl""}"
flowered	Up at the High Table, Dumbledore had swapped his pointed wizard’s hat for a flowered bonnet, and was chuckling merrily at a joke Professor Flitwick had just read him.Flaming Christmas puddings followed the turkey.	"{'a. 花开着的, 用花装饰的', 'v produce or yield flowers\ns resembling or made of or suggestive of flowers', ""'flauәd"", 'flowered'}"
bonnet	Ten years ago, there had been lots of pictures of what looked like a large pink beach ball wearing differentcolored bonnets — but Dudley Dursley was no longer a baby, and now the photographs showed a large blond boy riding his first bicycle, on a carousel at the fair, playing a computer game with his father, being hugged and kissed by his mother.	"{'bonnet', 'n. a hat tied under the chin\nv. dress in a bonnet', ""'bɒnit"", 'n. 软帽\n[化] 阀盖; 阀帽'}"
sickle	Percy nearly broke his teeth on a silver sickle embedded in his slice.	{'sickle', 'n. 镰刀', 'sikl', 'n. an edge tool for cutting grass or crops; has a curved blade and a short handle'}
slice	Percy nearly broke his teeth on a silver sickle embedded in his slice.	{'slice', 'n. a share of something\nn. a golf shot that curves to the right for a right-handed golfer\nn. a thin flat piece cut off of some object\nn. a spatula for spreading paint or ink', 'slais', 'n. 薄的切片, 一部分, 菜刀\nvt. 切成薄片, 切下\nvi. 切\n[计] 片'}
redder	Harry watched Hagrid getting redder and redder in the face as he called for more wine, finally kissing Professor McGonagall on the cheek, who, to Harry’s amazement, giggled and blushed, her top hat lopsided.When Harry finally left the table, he was laden down with a stack of things out of the crackers, including a pack of nonexplodable, luminous balloons, a GrowYourOwnWarts kit, and his own new wizard chess set.	{'', 'redder', 's of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies\ns characterized by violence or bloodshed\ns (especially of the face) reddened or suffused with or as if with blood from emotion or exertion', 'a. red比较级'}
luminous	Harry watched Hagrid getting redder and redder in the face as he called for more wine, finally kissing Professor McGonagall on the cheek, who, to Harry’s amazement, giggled and blushed, her top hat lopsided.When Harry finally left the table, he was laden down with a stack of things out of the crackers, including a pack of nonexplodable, luminous balloons, a GrowYourOwnWarts kit, and his own new wizard chess set.	"{'luminous', ""'lu:minәs"", 'a. 发光的, 明亮的\n[医] 发光的', 's softly bright or radiant'}"
snowball	The lake froze solid and the Weasley twins were punished for bewitching several snowballs so that they followed Quirrell around, bouncing off the back of his turban.	"{""'snәubɒ:l"", 'n. plant having heads of fragrant white trumpet-shaped flowers; grows in sandy arid regions\nn. ball of ice cream covered with coconut and usually chocolate sauce\nn. ball of crushed ice with fruit syrup\nn. snow pressed into a ball for throwing (playfully)', 'snowball', 'n. 雪球, 果味冰霜卷, 滚雪球式的募捐法\nvt. 向...丢雪球, 使滚雪球般增长\nvi. 打雪仗, 滚雪球般增长'}"
spectacularly	Then, cold, wet, and gasping for breath, they returned to the fire in the Gryffindor common room, where Harry broke in his new chess set by losing spectacularly to Ron.	{'', 'spectacularly', 'adv. 引人注目地；壮观地', 'r. in a spectacular manner'}
nagging	Yet something had been nagging at the back of his mind all day.	"{'a. 唠叨的, 责备挑剔的', 'nagging', ""'nægiŋ"", 'v bother persistently with trivial complaints\nv worry persistently\nv remind or urge constantly\ns continually complaining or faultfinding'}"
whoever	Not until he climbed into bed was he free to think about it: the invisibility cloak and whoever had sent it.Ron, full of turkey and cake and with nothing mysterious to bother him, fell asleep almost as soon as he’d drawn the curtains of his fourposter.	"{'pron. Whatever person; any person who; be or she who; any one\n   who; as, he shall be punished, whoever he may be.', ""hu'evә"", 'pron. 任何人, 无论谁', 'whoever'}"
smoother	He let the material flow over his hands, smoother than silk, light as air.	"{'smoother', 'n a power tool used for sanding wood; an endless loop of sandpaper is moved at high speed by an electric motor\na having a surface free from roughness or bumps or ridges or irregularities\ns smoothly agreeable and courteous with a degree of sophistication\na of the margin of a leaf shape; not broken up into teeth\ns smooth and unconstrained in movement\na (music) without breaks between notes; smooth and connected\na of motion that runs or flows or proceeds without jolts or turbulence\ns lacking obstructions or difficulties\ns (of a body of water) free from disturbance by heavy waves', 'n. 弄平的人, 路面平整机, 修光工具\n[机] 光镘', ""'smu:ðә""}"
eerie	He set off, drawing the invisibility cloak tight around him as he walked.The library was pitchblack and very eerie.	"{'s. suggestive of the supernatural; mysterious\ns. inspiring a feeling of fear; strange and frightening', 'eerie', 'a. 怪诞的, 可怕的, 奇异的, 令人迷惑不解的', ""'iәri""}"
